,country,year,energy_cons_change_pct,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,per_capita_electricity,population,gdp
1139,Austria,2000,0.309,59.852,1.528,5.727,16.419,7.851,41.835,0.0,2.841,43.434,0.003,0.067,7417.582,8069000.0,288000000000.0
1140,Austria,2001,3.726,61.052,1.668,6.893,18.819,8.746,40.455,0.0,3.18,42.233,0.005,0.105,7539.171,8098000.0,283000000000.0
1141,Austria,2002,0.22,60.689,1.517,6.613,18.792,9.308,40.227,0.0,2.871,41.896,0.009,0.14,7461.095,8134000.0,292000000000.0
1142,Austria,2003,1.301,58.081,1.647,8.443,22.83,11.164,33.215,0.0,3.223,35.252,0.015,0.372,7103.86,8176000.0,293000000000.0
1143,Austria,2004,1.676,61.935,1.912,7.905,22.306,10.953,36.762,0.0,3.448,39.629,0.018,0.934,7537.428,8217000.0,303000000000.0
1144,Austria,2005,1.704,64.487,2.435,7.166,23.602,13.028,37.095,0.0,3.408,40.885,0.021,1.331,7812.807,8254000.0,312000000000.0
1145,Austria,2006,-1.131,61.958,3.234,7.043,21.289,10.668,35.656,0.0,3.578,40.669,0.022,1.753,7478.313,8285000.0,325000000000.0
1146,Austria,2007,-2.322,62.922,4.059,6.6,19.744,9.903,37.054,0.0,3.24,43.177,0.024,2.037,7568.172,8314000.0,337000000000.0
1147,Austria,2008,1.992,64.497,4.158,5.527,19.966,11.181,38.329,0.0,3.258,44.531,0.03,2.011,7731.592,8342000.0,342000000000.0
1148,Austria,2009,-3.379,66.298,4.276,3.759,19.121,12.343,40.896,0.0,3.02,47.177,0.049,1.954,7918.078,8373000.0,336000000000.0
1149,Austria,2010,3.387,67.915,4.481,4.918,22.917,14.351,38.363,0.0,3.647,44.998,0.089,2.064,8075.517,8410000.0,341000000000.0
1150,Austria,2011,-6.357,62.259,4.56,5.432,21.35,12.437,34.237,0.0,3.482,40.908,0.174,1.936,7364.397,8454000.0,350000000000.0
1151,Austria,2012,4.891,68.698,4.679,4.388,17.37,9.712,43.848,0.0,3.27,51.328,0.337,2.463,8080.19,8502000.0,365000000000.0
1152,Austria,2013,-0.65,64.581,4.696,4.212,14.09,6.65,42.017,0.0,3.228,50.491,0.626,3.152,7548.049,8556000.0,368000000000.0
1153,Austria,2014,-4.161,61.599,4.548,2.935,11.413,5.321,41.007,0.0,3.157,50.186,0.785,3.846,7150.212,8615000.0,386000000000.0
1154,Austria,2015,0.156,61.85,4.648,2.954,14.268,7.664,37.157,0.0,3.65,47.582,0.937,4.84,7126.382,8679000.0,389000000000.0
1155,Austria,2016,3.308,65.256,4.78,2.043,14.173,8.488,39.971,0.0,3.643,51.083,1.096,5.235,7460.373,8747000.0,395000000000.0
1156,Austria,2017,2.391,67.43,4.921,1.758,16.375,10.914,38.294,0.0,3.703,51.055,1.269,6.572,7645.163,8820000.0,
1157,Austria,2018,-1.984,65.006,4.93,1.805,14.97,9.918,37.638,0.0,3.247,50.036,1.438,6.03,7311.44,8891000.0,
1158,Austria,2019,4.35,71.626,4.536,1.633,16.498,11.618,41.638,0.0,3.247,55.128,1.353,7.6,7998.409,8955000.0,
1663,Belgium,2000,2.265,82.773,0.568,12.916,33.572,15.977,0.46,48.157,4.679,1.044,0.0,0.016,8050.282,10282000.0,343000000000.0
1664,Belgium,2001,-0.811,78.618,0.597,9.936,31.194,15.78,0.441,46.349,5.478,1.075,0.0,0.037,7618.762,10319000.0,343000000000.0
1665,Belgium,2002,-0.41,80.939,0.721,10.029,32.441,17.868,0.36,47.36,4.544,1.138,0.0,0.057,7808.876,10365000.0,358000000000.0
1666,Belgium,2003,3.779,83.561,0.857,9.638,34.99,21.609,0.247,47.379,3.743,1.192,0.0,0.088,8020.06,10419000.0,356000000000.0
1667,Belgium,2004,0.339,84.352,1.038,9.146,35.543,21.477,0.317,47.312,4.92,1.497,0.001,0.141,8048.872,10480000.0,361000000000.0
1668,Belgium,2005,-1.152,85.444,1.59,8.199,35.742,22.849,0.288,47.595,4.694,2.106,0.001,0.227,8101.229,10547000.0,370000000000.0
1669,Belgium,2006,0.21,84.093,2.226,6.848,34.495,23.022,0.359,46.645,4.625,2.953,0.002,0.366,7919.068,10619000.0,370000000000.0
1670,Belgium,2007,0.607,87.282,2.599,6.475,35.569,25.386,0.389,48.227,3.708,3.485,0.006,0.491,8158.69,10698000.0,382000000000.0
1671,Belgium,2008,1.719,83.335,3.328,5.547,33.351,24.646,0.41,45.568,3.158,4.416,0.041,0.637,7731.195,10779000.0,392000000000.0
1672,Belgium,2009,-6.573,89.722,3.95,5.178,37.06,29.31,0.328,47.222,2.572,5.44,0.166,0.996,8261.696,10860000.0,402000000000.0
1673,Belgium,2010,6.469,93.579,4.33,4.197,39.141,31.42,0.312,47.944,3.524,6.494,0.56,1.292,8554.619,10939000.0,420000000000.0
1674,Belgium,2011,-6.794,88.855,4.676,3.476,32.268,25.438,0.196,48.234,3.354,8.353,1.169,2.312,8067.494,11014000.0,419000000000.0
1675,Belgium,2012,-3.896,81.373,5.182,3.389,30.64,23.546,0.357,40.295,3.705,10.438,2.148,2.751,7340.826,11085000.0,430000000000.0
1676,Belgium,2013,2.572,81.724,4.968,3.008,27.423,20.924,0.38,42.644,3.491,11.657,2.644,3.665,7326.865,11154000.0,438000000000.0
1677,Belgium,2014,-6.817,71.033,4.46,2.09,25.076,19.322,0.292,33.703,3.664,12.254,2.886,4.615,6330.389,11221000.0,437000000000.0
1678,Belgium,2015,1.435,68.242,5.55,2.075,27.641,22.026,0.318,26.103,3.54,14.499,3.056,5.574,6045.571,11288000.0,443000000000.0
1679,Belgium,2016,7.72,84.155,5.436,0.39,26.294,22.122,0.37,43.523,3.782,14.339,3.095,5.438,7411.934,11354000.0,448000000000.0
1680,Belgium,2017,1.146,85.086,5.766,0.091,27.002,23.028,0.27,42.227,3.883,15.857,3.307,6.514,7450.622,11420000.0,
1681,Belgium,2018,-2.591,73.581,5.459,0.091,27.844,23.99,0.314,28.597,3.763,17.139,3.902,7.465,6408.352,11482000.0,
1682,Belgium,2019,4.795,90.303,5.217,0.091,29.122,25.158,0.306,42.417,3.873,18.765,3.879,9.362,7825.933,11539000.0,
5604,Finland,2000,0.698,69.785,8.639,8.487,23.927,10.131,14.66,22.479,5.309,23.379,0.002,0.078,13451.215,5188000.0,171000000000.0
5605,Finland,2001,2.234,74.307,8.272,10.614,29.986,11.69,13.205,22.773,7.682,21.549,0.002,0.07,14289.882,5200000.0,173000000000.0
5606,Finland,2002,0.999,74.72,8.989,12.706,32.594,11.625,10.776,22.295,8.263,19.831,0.002,0.064,14333.431,5213000.0,175000000000.0
5607,Finland,2003,7.256,84.08,9.379,19.248,42.284,13.848,9.591,22.731,9.188,19.065,0.002,0.093,16085.776,5227000.0,174000000000.0
5608,Finland,2004,-0.924,85.588,10.44,16.497,37.24,12.747,15.07,22.716,7.996,25.632,0.002,0.12,16327.427,5242000.0,183000000000.0
5609,Finland,2005,-9.112,70.336,9.512,6.497,23.596,11.231,13.784,23.271,5.868,23.469,0.003,0.17,13374.325,5259000.0,188000000000.0
5610,Finland,2006,7.075,82.054,10.814,16.325,36.682,12.323,11.494,22.906,8.034,22.467,0.003,0.156,15549.428,5277000.0,195000000000.0
5611,Finland,2007,-0.258,80.926,9.955,13.888,33.179,10.557,14.177,23.423,8.734,24.324,0.004,0.188,15274.886,5298000.0,210000000000.0
5612,Finland,2008,-3.533,76.995,10.405,8.502,26.256,11.033,17.112,22.958,6.721,27.781,0.004,0.261,14475.529,5319000.0,214000000000.0
5613,Finland,2009,-7.2,71.772,8.734,11.126,26.545,9.819,12.686,23.526,5.6,21.701,0.004,0.277,13435.417,5342000.0,202000000000.0
5614,Finland,2010,8.753,80.363,10.974,14.541,33.367,11.262,12.922,22.8,7.564,24.195,0.005,0.294,14976.288,5366000.0,204000000000.0
5615,Finland,2011,-6.914,73.198,11.245,9.776,25.835,9.447,12.445,23.187,6.612,24.177,0.005,0.481,13580.407,5390000.0,207000000000.0
5616,Finland,2012,-3.191,70.088,11.2,7.098,18.542,6.732,16.859,22.987,4.712,28.559,0.006,0.494,12943.262,5415000.0,210000000000.0
5617,Finland,2013,0.64,70.967,12.011,10.688,21.732,6.788,12.839,23.606,4.256,25.63,0.006,0.774,13047.884,5439000.0,206000000000.0
